0,Architecture
1,Business Administration
2,Commerce
3,Civil Law
4,Economics
5,Education
6,Engineering
7,Fine Arts
8,Laws
9,Letters
10,Music
11,Science
12,Philosophy
13,Science in Nursing
14,Social Work
15,Technology
16,Psychology
17,Counselling
18,Naturopathic Medicine
19,Theology
20,Fine Arts
21,Veterinary Medicine
22,Medicine
23,Philosophy
24,Public Administration
25,Public Health
26,Research
27,Sacred Theology
28,Science in Nursing
29,Ministry
30,Surgery
31,Arts
32,Pharmacy
33,Canon Law
34,Chiropractic
35,Dental Surgery
36,Education
37,Juridical Science
38,Osteopathic Medicine